Dates,Sum of Sales (KGS),Weighted Distribution,AVG ITEM,TPR,Numeric Distribution ,Price ,youtube_imp,facebook_imp,fbinsta_imp,instagram_imp,search_imp,tiktok_imp,display_imp,youtube_net,facebook_net,fbinsta_net,instagram_net,search_net,tiktok_net,display_net
11/5/2022,24492.69,65.097,0.216,17208.15457,10.8867141,12.363,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/12/2022,23976.455,65.084,0.214,17898.78789,10.4567632,12.476,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/19/2022,22796.121,64.511,0.312,16348.06453,6.9021857,12.466,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/26/2022,20969.932,61.142,0.322,13788.89037,4.9666391,12.596,562725.625,0,1521415.683,0,0,0,0,2868.47,0.00,4712.13,0.00,0.00,0.00,0.00
12/3/2022,20286.146,51.271,0.318,12018.26424,4.6337148,12.656,707339.875,0,1521415.683,0,0,0,0,3356.53,0.00,4712.13,0.00,0.00,0.00,0.00
12/10/2022,18848.898,39.393,0.287,9964.888013,4.3808432,12.686,786561,0,1521415.683,0,0,0,0,3448.98,0.00,4712.13,0.00,0.00,0.00,0.00
12/17/2022,17794.94,5.579,0.318,9038.368788,2.7477109,12.87,909507.5,0,1521415.683,0,0,0,0,3519.10,0.00,4712.13,0.00,0.00,0.00,0.00
12/24/2022,20329.17,2.073,0.354,14974.90232,3.3602411,13.01,1038493.625,0,1521415.683,0,0,0,0,3597.73,0.00,4712.13,0.00,0.00,0.00,0.00
12/31/2022,14751.011,6.824,0.3,6786.698165,1.6851931,13.021,792554.375,0,1304070.585,0,0,0,0,2597.79,0.00,4038.97,0.00,0.00,0.00,0.00
1/7/2023,29420.596,66.686,0.429,23617.57357,3.8478652,12.936,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/14/2023,32313.564,64.795,0.489,19473.41011,3.2231187,12.76,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/21/2023,31075.736,66.354,0.387,14392.77406,5.978825,12.962,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/28/2023,25532.288,65.342,0.314,11859.78006,7.5223005,13.223,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2/4/2023,24037.867,56.114,0.288,17380.21288,7.2549324,13.385,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
